T,a,b,tau1,tau2,tau3,tau4
0.01,0.6267,0.5108,0.3280,0.2928,0.2439,0.2343
0.02,0.6266,0.5112,0.3280,0.2928,0.2439,0.2343
0.03,0.6320,0.5181,0.3280,0.2928,0.2439,0.2343
0.04,0.6430,0.5317,0.3280,0.2928,0.2439,0.2343
0.05,0.6701,0.5638,0.3280,0.2928,0.2439,0.2343
0.075,0.7101,0.6109,0.3280,0.2928,0.2439,0.2343
0.1,0.7184,0.6213,0.3280,0.2928,0.2439,0.2343
0.15,0.6990,0.6037,0.3280,0.2928,0.2439,0.2343
0.2,0.6697,0.5794,0.3280,0.2928,0.2439,0.2343
0.25,0.6434,0.5585,0.3280,0.2928,0.2439,0.2343
0.3,0.6220,0.5440,0.3280,0.2928,0.2439,0.2343
0.4,0.5904,0.5269,0.3280,0.2928,0.2439,0.2343
0.5,0.5682,0.5151,0.3280,0.2928,0.2439,0.2343
0.75,0.5324,0.4970,0.3280,0.2928,0.2439,0.2343
1,0.5088,0.4842,0.3280,0.2928,0.2439,0.2343
1.5,0.4773,0.4703,0.3280,0.2928,0.2439,0.2343
2,0.4567,0.4580,0.3280,0.2928,0.2439,0.2343
3,0.4315,0.4322,0.3280,0.2928,0.2439,0.2343
4,0.4176,0.4176,0.3280,0.2928,0.2439,0.2343
5,0.4095,0.4091,0.3280,0.2928,0.2439,0.2343
7.5,0.4007,0.3999,0.3280,0.2928,0.2439,0.2343
10,0.3984,0.3976,0.3280,0.2928,0.2439,0.2343
PGA,0.6267,0.5108,0.3280,0.2928,0.2439,0.2343
PGV,0.5850,0.5082,0.2488,0.2370,0.2278,0.2081
