     r,      r̅,    m,    m̅,    Σε,    ε0,    ε1,    ε2,    ε3,    ε4,    ε5,    ε6,    ε7,    ε8,    ε9,   ε10,   ε11
 50.00,  58.93, 6.70, 6.75,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 50.00,  58.56, 6.90, 6.93,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 50.00,  57.65, 7.10, 7.11,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T,     0
 70.00,  60.70, 6.70, 6.75,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
 70.00,  67.83, 6.90, 6.94,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 70.00,  72.80, 7.10, 7.13,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T,     T
 90.00,  83.74, 7.10, 7.15,     T,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     T
