name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Los Angeles CA,-118.25000,34.05000,1.04325779e-01,1.02545479e-01,9.83019897e-02,9.20106566e-02,8.28871769e-02,7.07459944e-02,5.59498962e-02,4.02491452e-02,2.61665628e-02,1.55684835e-02,8.66483335e-03,4.53789990e-03,2.18158479e-03,9.11343859e-04,3.07548992e-04,7.47019630e-05,1.14601223e-05,6.54934393e-07,4.68235108e-09,0.0
San Francisco CA,-122.40000,37.75000,1.14877834e-01,1.09001794e-01,9.93971554e-02,8.91192373e-02,7.79534875e-02,6.60872752e-02,5.32743511e-02,4.03031445e-02,2.84226159e-02,1.83559423e-02,1.04563930e-02,5.00495101e-03,1.90236608e-03,5.34116042e-04,1.02873247e-04,1.08729690e-05,3.12106167e-07,0.0,0.0,0.0
Seattle WA,-122.30000,47.60000,3.05874583e-03,3.04099969e-03,2.98082896e-03,2.86084519e-03,2.63801041e-03,2.29332232e-03,1.87077877e-03,1.46839796e-03,1.13731050e-03,8.60389891e-04,6.13357807e-04,3.93139470e-04,2.11895082e-04,8.85677823e-05,2.68801583e-05,5.36266724e-06,5.59484364e-07,1.91209646e-08,0.0,0.0
Salt Lake City UT,-111.90000,40.75000,1.67885523e-02,1.65774229e-02,1.58525156e-02,1.45920612e-02,1.26803754e-02,1.02831660e-02,7.78432176e-03,5.62054843e-03,3.98447442e-03,2.83929460e-03,2.04409383e-03,1.43583388e-03,9.09217761e-04,4.70951832e-04,1.83684939e-04,4.95689808e-05,8.13768496e-06,5.88373967e-07,1.73749728e-09,0.0
