name,lon,lat,0.001,0.01,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.7,0.8,0.9,1.0
PEER S2-Fault3-Site1,-64.91005,0.00000,6.89175289e-02,6.65593314e-02,4.03948474e-02,2.20731471e-02,1.29472112e-02,7.98313293e-03,5.10918788e-03,3.36754488e-03,2.27396010e-03,1.56725618e-03,1.09945085e-03,7.83347185e-04,5.65886451e-04,4.13896762e-04,2.28788211e-04,1.31332717e-04,7.78603343e-05,4.74689848e-05
PEER S2-Fault3-Site2,-65.04497,0.00000,6.89175886e-02,6.69040617e-02,4.43431147e-02,2.79846084e-02,1.88985166e-02,1.32709947e-02,9.56396550e-03,7.02591072e-03,5.24069924e-03,3.95910736e-03,3.02385918e-03,2.33194333e-03,1.81397377e-03,1.42217187e-03,8.92720715e-04,5.74372215e-04,3.77588290e-04,2.52996159e-04
PEER S2-Fault3-Site3,-65.08995,0.00000,6.89175289e-02,6.65593314e-02,4.03948474e-02,2.20731471e-02,1.29472112e-02,7.98313293e-03,5.10918788e-03,3.36754488e-03,2.27396010e-03,1.56725618e-03,1.09945085e-03,7.83347185e-04,5.65886451e-04,4.13896762e-04,2.28788211e-04,1.31332717e-04,7.78603343e-05,4.74689848e-05
PEER S2-Fault3-Site4,-65.13490,0.00000,6.89173975e-02,6.58774985e-02,3.43904108e-02,1.54758840e-02,7.70290769e-03,4.13301262e-03,2.34544146e-03,1.39040515e-03,8.53858023e-04,5.39997338e-04,3.50160263e-04,2.32040934e-04,1.56727646e-04,1.07669058e-04,5.31097084e-05,2.75481575e-05,1.49069338e-05,8.36427171e-06
PEER S2-Fault3-Site5,-65.22483,0.00000,6.89165698e-02,6.29882882e-02,2.15967786e-02,6.56424648e-03,2.45120862e-03,1.04546590e-03,4.88948745e-04,2.44967594e-04,1.29566877e-04,7.16332641e-05,4.11032164e-05,2.43473127e-05,1.48262857e-05,9.25075639e-06,3.83405699e-06,1.70470267e-06,8.03398088e-07,3.97737894e-07
PEER S2-Fault3-Site6,-65.00900,-0.42718,6.88482317e-02,5.28421908e-02,1.96252607e-02,9.45485318e-03,5.38522986e-03,3.32223039e-03,2.15504163e-03,1.44917270e-03,1.00198955e-03,7.08562876e-04,5.10569405e-04,3.73857704e-04,2.77603749e-04,2.08687301e-04,1.21753926e-04,7.36428381e-05,4.59101482e-05,2.93713531e-05
