name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Los Angeles CA,-118.25000,34.05000,5.65751194e-01,4.60546107e-01,3.52846533e-01,2.68589324e-01,1.96755851e-01,1.38892991e-01,9.39674734e-02,6.03017357e-02,3.61972876e-02,2.02823160e-02,1.07017814e-02,5.31887461e-03,2.43349159e-03,9.74954193e-04,3.19112149e-04,7.58898203e-05,1.14905519e-05,6.54934393e-07,4.68235108e-09,0.0
San Francisco CA,-122.40000,37.75000,4.71018566e-01,3.93716939e-01,3.09117253e-01,2.40097649e-01,1.79647813e-01,1.29860376e-01,9.04036218e-02,6.05001871e-02,3.87023382e-02,2.32276107e-02,1.25730376e-02,5.82377769e-03,2.17157469e-03,6.04494779e-04,1.16423839e-04,1.24763554e-05,3.73529672e-07,1.99530753e-11,0.0,0.0
Seattle WA,-122.30000,47.60000,2.69671478e-01,2.30162962e-01,1.85618866e-01,1.46901945e-01,1.10435218e-01,7.85153992e-02,5.26618453e-02,3.33893493e-02,1.98538443e-02,1.08676865e-02,5.36030565e-03,2.34281054e-03,8.87134086e-04,2.76822930e-04,6.71347073e-05,1.14010802e-05,1.34458466e-06,9.12484497e-08,3.14297684e-09,0.0
Salt Lake City UT,-111.90000,40.75000,1.18372651e-01,9.26583008e-02,6.79587911e-02,4.97197671e-02,3.48310659e-02,2.33579362e-02,1.50498993e-02,9.46729372e-03,5.91766902e-03,3.74488527e-03,2.42836494e-03,1.57813005e-03,9.53003203e-04,4.81412575e-04,1.85472023e-04,4.97447528e-05,8.14238060e-06,5.88373967e-07,1.73749728e-09,0.0
