IMT,c1r,c1ss,c2,c3,c4,c5,c6r,c6ss,c7,sig0,cM,sigMax
PGA,-1.92,-2.17,1.0,1.7,0.3825,0.5882,0.0000,0.0000,0.000,1.520,-0.16,0.400
0.075,-1.92,-2.17,1.0,1.7,0.3825,0.5882,0.4572,0.4572,0.005,1.540,-0.16,0.420
0.1,-1.92,-2.17,1.0,1.7,0.3825,0.5882,0.6395,0.6395,0.005,1.540,-0.16,0.420
0.2,-1.92,-2.17,1.0,1.7,0.3825,0.5882,0.9187,0.9187,-0.004,1.565,-0.16,0.445
0.3,-1.92,-2.17,1.0,1.7,0.3825,0.5882,0.9547,0.9547,-0.014,1.580,-0.16,0.460
0.4,-1.92,-2.17,1.0,1.7,0.3825,0.5882,0.9005,0.9251,-0.024,1.595,-0.16,0.475
0.5,-1.92,-2.17,1.0,1.7,0.3825,0.5882,0.8285,0.8494,-0.033,1.610,-0.16,0.490
0.75,-1.92,-2.17,1.0,1.7,0.3825,0.5882,0.6802,0.7010,-0.051,1.635,-0.16,0.515
1.0,-1.92,-2.17,1.0,1.7,0.3825,0.5882,0.5075,0.5665,-0.065,1.660,-0.16,0.540
1.5,-1.92,-2.17,1.0,1.7,0.3825,0.5882,0.2215,0.3235,-0.090,1.690,-0.16,0.570
2.0,-1.92,-2.17,1.0,1.7,0.3825,0.5882,-0.0526,0.1001,-0.108,1.700,-0.16,0.580
3.0,-1.92,-2.17,1.0,1.7,0.3825,0.5882,-0.4905,-0.2801,-0.139,1.710,-0.16,0.590
4.0,-1.92,-2.17,1.0,1.7,0.3825,0.5882,-0.8907,-0.6274,-0.160,1.710,-0.16,0.590
