T,c1,c2,c3,c4,c5,c6,c7,sig
PGA,2.991,0.03525,0.00759,-0.00206,0.19,0.24,0.29,0.23
0.2,2.5712,0.13976,0.0077995,-0.0024999,0.13666,0.32338,0.33671,0.28
1,2.1442,0.1345,0.00521,-0.0011,0.1,0.3,0.55,0.34
0.1,2.7789,0.09841,0.00974,-0.00287,0.15,0.23,0.2,0.27
0.3,2.6169,0.13694,0.0081225,-0.0026354,0.1429,0.30005,0.29974,0.286
0.5,2.536,0.13242,0.0079514,-0.002456,0.1358,0.32513,0.34473,0.31
0.75,2.2884,0.13728,0.0064291,-0.001737,0.11287,0.2954,0.49244,0.34
2,2.1907,0.07148,0.00224,0,0.1,0.25,0.4,0.34
3,2.301,0.02237,0.00012,0,0.1,0.25,0.36,0.36
