T,c1,c2,c3,c4,c5,c6,c7,sig
PGA,2.79,0.03525,0.00759,-0.00206,0.19,0.24,0.29,0.23
0.2,2.54,0.12386,0.00884,-0.0028,0.15,0.23,0.25,0.28
1,2.18,0.1345,0.00521,-0.0011,0.1,0.3,0.55,0.34
0.1,2.5,0.09841,0.00974,-0.00287,0.15,0.23,0.2,0.27
0.3,2.516,0.1373,0.00789,-0.00252,0.14,0.253,0.319,0.286
0.5,2.418,0.1444,0.00671,-0.00195,0.12,0.277,0.416,0.31
0.75,2.2416,0.14505,0.0059208,-0.0015904,0.10635,0.34101,0.53479,0.34
2,2.33,0.07148,0.00224,0,0.1,0.25,0.4,0.34
3,2.36,0.02237,0.00012,0,0.1,0.25,0.36,0.36
