name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Los Angeles CA,-118.25000,34.05000,1.65745851e-01,1.22125445e-01,8.80728912e-02,6.60335387e-02,4.88190206e-02,3.50558155e-02,2.39109181e-02,1.51709726e-02,8.77475883e-03,4.57525641e-03,2.15024376e-03,9.11347794e-04,3.44663990e-04,1.12209380e-04,2.98215159e-05,5.91636990e-06,6.80483376e-07,3.05651635e-08,0.0,0.0
San Francisco CA,-122.40000,37.75000,1.38523026e-01,1.04497247e-01,7.57110571e-02,5.63871359e-02,4.13652419e-02,2.97101240e-02,2.06023813e-02,1.35993271e-02,8.38062223e-03,4.71312195e-03,2.35569665e-03,1.01287512e-03,3.58386836e-04,9.81760449e-05,1.92111848e-05,1.92327884e-06,2.26045628e-08,0.0,0.0,0.0
Seattle WA,-122.30000,47.60000,5.36612470e-02,3.92480168e-02,2.67699471e-02,1.83453719e-02,1.19297756e-02,7.30125893e-03,4.18484932e-03,2.26739521e-03,1.17511154e-03,5.89760577e-04,2.87551014e-04,1.33669950e-04,5.65189503e-05,2.03671412e-05,5.91646216e-06,1.25862948e-06,1.56862971e-07,7.36537823e-09,0.0,0.0
Salt Lake City UT,-111.90000,40.75000,3.29400441e-02,2.32395325e-02,1.61143210e-02,1.15773002e-02,8.05005341e-03,5.33070380e-03,3.34640934e-03,2.03056329e-03,1.22303424e-03,7.40586247e-04,4.37838783e-04,2.35985383e-04,1.07288995e-04,3.84329142e-05,1.02529810e-05,1.73857784e-06,1.26644303e-07,0.0,0.0,0.0
