name,lon,lat,0.0025,0.0045,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Los Angeles CA,-118.25000,34.05000,1.84918341e-01,1.43775262e-01,1.07509387e-01,8.18866831e-02,6.09886000e-02,4.42978405e-02,3.10638600e-02,2.06519679e-02,1.26707586e-02,7.02683269e-03,3.49512287e-03,1.55367468e-03,6.07113570e-04,2.00163616e-04,5.28651168e-05,1.01626692e-05,1.19907225e-06,5.68287568e-08,0.0,0.0
San Francisco CA,-122.40000,37.75000,1.55392775e-01,1.26087492e-01,9.68931314e-02,7.48043736e-02,5.63310746e-02,4.13995720e-02,2.94433797e-02,2.00913547e-02,1.29903934e-02,7.78087358e-03,4.16443778e-03,1.90592344e-03,7.05888502e-04,1.96916627e-04,3.81963946e-05,3.99154782e-06,9.15479033e-08,0.0,0.0,0.0
Seattle WA,-122.30000,47.60000,6.11054970e-02,4.99285892e-02,3.82106047e-02,2.87315845e-02,2.03025252e-02,1.33424721e-02,8.09532424e-03,4.55561486e-03,2.39751055e-03,1.19870682e-03,5.78900610e-04,2.68106487e-04,1.13084659e-04,3.99894941e-05,1.09902166e-05,2.09550889e-06,2.21001100e-07,6.33905145e-09,0.0,0.0
Salt Lake City UT,-111.90000,40.75000,3.85851525e-02,2.91439463e-02,2.12718491e-02,1.57988188e-02,1.13424811e-02,7.82622309e-03,5.16995694e-03,3.28246904e-03,2.02365596e-03,1.23619562e-03,7.58125724e-04,4.52345945e-04,2.39500391e-04,1.00634348e-04,3.09353705e-05,6.26478758e-06,5.85688868e-07,1.15643129e-08,0.0,0.0
