name,                            lon,    lat
Central IL,                  -90.000, 40.000
Chattanooga TN,              -85.255, 35.064
Houston TX,                  -95.363, 29.760
Jackson MS,                  -90.187, 32.312
Manchester NH,               -71.463, 42.991
Savannah GA,                 -81.097, 32.082
Topeka KS,                   -95.682, 39.047
