name,lon,lat,0.005,0.0075,0.0113,0.0169,0.0253,0.038,0.057,0.0854,0.128,0.192,0.288,0.432,0.649,0.973,1.46,2.19,3.28,4.92,7.38
Concord CA,-122.00000,37.95000,2.85280770e-03,2.85280770e-03,2.85280770e-03,2.85280770e-03,2.85280770e-03,2.85280770e-03,2.85280765e-03,2.85280477e-03,2.85270518e-03,2.85078022e-03,2.83008128e-03,2.70590831e-03,2.28696055e-03,1.50389881e-03,6.77886373e-04,1.90569823e-04,2.95347392e-05,0.0,0.0
Oakland CA,-122.25000,37.80000,2.85280770e-03,2.85280770e-03,2.85280769e-03,2.85280672e-03,2.85276770e-03,2.85186933e-03,2.84051228e-03,2.76089446e-03,2.44724494e-03,1.75232753e-03,8.89662810e-04,2.88808879e-04,5.37386169e-05,2.80957782e-06,0.0,0.0,0.0,0.0,0.0
San Francisco CA,-122.40000,37.75000,2.85280770e-03,2.85280766e-03,2.85280516e-03,2.85271832e-03,2.85102097e-03,2.83210445e-03,2.71581913e-03,2.31748053e-03,1.54878503e-03,7.13985139e-04,2.06117747e-04,3.29262641e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Jose CA,-121.90000,37.35000,2.85280618e-03,2.85274865e-03,2.85148299e-03,2.83686667e-03,2.74122352e-03,2.38520747e-03,1.65053012e-03,8.00849371e-04,2.46218752e-04,4.28443439e-05,1.21548955e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Mateo CA,-122.30000,37.55000,2.85280768e-03,2.85280621e-03,2.85274736e-03,2.85152595e-03,2.83719744e-03,2.74146521e-03,2.38769613e-03,1.65698836e-03,8.05712968e-04,2.47828467e-04,4.32574972e-05,1.27322269e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Rosa CA,-122.70000,38.45000,2.85280740e-03,2.85279294e-03,2.85239013e-03,2.84652338e-03,2.79815824e-03,2.57124126e-03,1.98148433e-03,1.12326487e-03,4.18503349e-04,9.31773764e-05,9.25959946e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vallejo CA,-122.25000,38.10000,2.85280770e-03,2.85280770e-03,2.85280770e-03,2.85280769e-03,2.85280697e-03,2.85277571e-03,2.85203592e-03,2.84236939e-03,2.77156529e-03,2.48029487e-03,1.80972788e-03,9.43946745e-04,3.15149495e-04,6.16833532e-05,3.98383510e-06,0.0,0.0,0.0,0.0
