T,c1,c1a,c1b,c1c,c1d,c3,c5,c6,c7,c7b,c8b,c9,c9a,c9b,c11b,cn,cM,cHM,cgamma1,cgamma2,cgamma3,phi1,phi2,phi3,phi4,phi5,phi6,tau1,tau2,sigma1,sigma2,sigma3
PGA,-1.5065,0.165,-0.255,-0.165,0.255,1.9636,6.4551,0.4908,0.0352,0.0462,0.4833,0.9228,0.1202,6.8607,-0.4536,16.0875,4.9993,3.0956,-0.007146,-0.006758,4.2542,-0.521,-0.1417,-0.00701,0.10215,0,300,0.4,0.26,0.4912,0.3762,0.8
0.01,-1.5065,0.165,-0.255,-0.165,0.255,1.9636,6.4551,0.4908,0.0352,0.0462,0.4833,0.9228,0.1202,6.8607,-0.4536,16.0875,4.9993,3.0956,-0.007146,-0.006758,4.2542,-0.521,-0.1417,-0.00701,0.10215,0,300,0.4,0.26,0.4912,0.3762,0.8
0.02,-1.4798,0.165,-0.255,-0.165,0.255,1.9636,6.4551,0.4925,0.0352,0.0472,1.2144,0.9296,0.1217,6.8697,-0.4536,15.7118,4.9993,3.0963,-0.007249,-0.006758,4.2386,-0.5055,-0.1364,-0.007279,0.10836,0,300,0.4026,0.2637,0.4904,0.3762,0.8
0.03,-1.2972,0.165,-0.255,-0.165,0.255,1.9636,6.4551,0.4992,0.0352,0.0533,1.6421,0.9396,0.1194,6.9113,-0.4536,15.8819,4.9993,3.0974,-0.007869,-0.006758,4.2519,-0.4368,-0.1403,-0.007354,0.11989,0,300,0.4063,0.2689,0.4988,0.3849,0.8
0.04,-1.1007,0.165,-0.255,-0.165,0.255,1.9636,6.4551,0.5037,0.0352,0.0596,1.9456,0.9661,0.1166,7.0271,-0.4536,16.4556,4.9993,3.0988,-0.008316,-0.006758,4.296,-0.3752,-0.1591,-0.006977,0.13364,0,300,0.4095,0.2736,0.5049,0.391,0.8
0.05,-0.9292,0.165,-0.255,-0.165,0.255,1.9636,6.4551,0.5048,0.0352,0.0639,2.181,0.9794,0.1176,7.0959,-0.4536,17.6453,4.9993,3.1011,-0.008743,-0.006758,4.3578,-0.3469,-0.1862,-0.006467,0.14893,0,300,0.4124,0.2777,0.5096,0.3957,0.8
0.075,-0.658,0.165,-0.254,-0.165,0.254,1.9636,6.4551,0.5048,0.0352,0.063,2.6087,1.026,0.1171,7.3298,-0.4536,20.1772,5.0031,3.1094,-0.009537,-0.00619,4.5455,-0.3747,-0.2538,-0.005734,0.1906,0,300,0.4179,0.2855,0.5179,0.4043,0.8
0.1,-0.5613,0.165,-0.253,-0.165,0.253,1.9636,6.8305,0.5048,0.0352,0.0532,2.9122,1.0177,0.1146,7.2588,-0.4536,19.9992,5.0172,3.2381,-0.00983,-0.005332,4.7603,-0.444,-0.2943,-0.005604,0.23066,0,300,0.4219,0.2913,0.5236,0.4104,0.8
0.15,-0.5462,0.165,-0.25,-0.165,0.25,2.0362,7.3621,0.5045,0.0352,0.0345,3.3399,0.9801,0.1106,7.2109,-0.4536,16.6246,5.0547,3.43,-0.009896,-0.003806,5.0644,-0.5477,-0.3113,-0.005845,0.26647,0,300,0.4275,0.2993,0.5308,0.4191,0.8
0.2,-0.6798,0.165,-0.2449,-0.165,0.2449,2.1521,7.4972,0.5016,0.0352,0.0202,3.6434,0.9459,0.1208,7.2988,-0.444,13.7012,5.0939,3.5146,-0.009505,-0.00269,5.188,-0.6693,-0.2927,-0.006141,0.25525,0,300,0.4313,0.3047,0.5351,0.4252,0.8
0.25,-0.8663,0.165,-0.2382,-0.165,0.2382,2.2574,7.5416,0.4971,0.0352,0.009,3.8787,0.9196,0.1208,7.3691,-0.3539,11.2667,5.1315,3.5746,-0.008918,-0.002128,5.2164,-0.7766,-0.2662,-0.006439,0.23154,0,300,0.4341,0.3087,0.5377,0.4299,0.7999
0.3,-1.0514,0.165,-0.2313,-0.165,0.2313,2.344,7.56,0.4919,0.0352,-0.0004,4.0711,0.8829,0.1175,6.8789,-0.2688,9.1908,5.167,3.6232,-0.008251,-0.001812,5.1954,-0.8501,-0.2405,-0.006704,0.20728,0.001,300,0.4363,0.3119,0.5395,0.4338,0.7997
0.4,-1.3794,0.165,-0.2146,-0.165,0.2146,2.4709,7.5735,0.4807,0.0352,-0.0155,4.3745,0.8302,0.106,6.5334,-0.1793,6.5459,5.2317,3.6945,-0.007267,-0.001274,5.0899,-0.9431,-0.1975,-0.007125,0.16546,0.004,300,0.4396,0.3165,0.5422,0.4399,0.7988
0.5,-1.6508,0.165,-0.1972,-0.165,0.1972,2.5567,7.5778,0.4707,0.0352,-0.0278,4.6099,0.7884,0.1061,6.526,-0.1428,5.2305,5.2893,3.7401,-0.006492,-0.001074,4.7854,-1.0044,-0.1633,-0.007435,0.13383,0.01,300,0.4419,0.3199,0.5433,0.4446,0.7966
0.75,-2.1511,0.165,-0.162,-0.165,0.162,2.6812,7.5808,0.4575,0.0352,-0.0477,5.0376,0.6754,0.1,6.5,-0.1138,13.7896,5.4109,3.7941,-0.005147,-0.001115,4.3304,-1.0602,-0.1028,-0.00812,0.085153,0.034,300,0.4459,0.3255,0.5294,0.4533,0.7792
1,-2.5365,0.165,-0.14,-0.165,0.14,2.7474,7.5814,0.4522,0.0352,-0.0559,5.3411,0.6196,0.1,6.5,-0.1062,3.3024,5.5106,3.8144,-0.004277,-0.001197,4.1667,-1.0941,-0.0699,-0.008444,0.058595,0.067,300,0.4484,0.3291,0.5105,0.4594,0.7504
1.5,-3.0686,0.165,-0.1184,-0.165,0.1184,2.8161,7.5817,0.4501,0.0352,-0.063,5.7688,0.5101,0.1,6.5,-0.102,2.8498,5.6705,3.8284,-0.002979,-0.001675,4.0029,-1.1142,-0.0425,-0.007707,0.031787,0.143,300,0.4515,0.3335,0.4783,0.468,0.7136
2,-3.4148,0.1645,-0.11,-0.1645,0.11,2.8514,7.5818,0.45,0.0352,-0.0665,6.0723,0.3917,0.1,6.5,-0.1009,2.5417,5.7981,3.833,-0.002301,-0.002349,3.8949,-1.1154,-0.0302,-0.004792,0.019716,0.203,300,0.4534,0.3363,0.4681,0.4681,0.7035
3,-3.9013,0.1168,-0.104,-0.1168,0.104,2.8875,7.5818,0.45,0.016,-0.0516,6.5,0.1244,0.1,6.5,-0.1003,2.1488,5.9983,3.8361,-0.001344,-0.003306,3.7928,-1.1081,-0.0129,-0.001828,0.009643,0.277,300,0.4558,0.3398,0.4617,0.4617,0.7006
4,-4.2466,0.0732,-0.102,-0.0732,0.102,2.9058,7.5818,0.45,0.0062,-0.0448,6.8035,0.0086,0.1,6.5,-0.1001,1.8957,6.1552,3.8369,-0.001084,-0.003566,3.7443,-1.0603,-0.0016,-0.001523,0.005379,0.309,300,0.4574,0.3419,0.4571,0.4571,0.7001
5,-4.5143,0.0484,-0.101,-0.0484,0.101,2.9169,7.5818,0.45,0.0029,-0.0424,7.0389,0,0.1,6.5,-0.1001,1.7228,6.2856,3.8376,-0.00101,-0.00364,3.709,-0.9872,0,-0.00144,0.003223,0.321,300,0.4584,0.3435,0.4535,0.4535,0.7
7.5,-5.0009,0.022,-0.101,-0.022,0.101,2.932,7.5818,0.45,0.0007,-0.0348,7.4666,0,0.1,6.5,-0.1,1.5737,6.5428,3.838,-0.000964,-0.003686,3.6632,-0.8274,0,-0.001369,0.001134,0.329,300,0.4601,0.3459,0.4471,0.4471,0.7
10,-5.3461,0.0124,-0.1,-0.0124,0.1,2.9396,7.5818,0.45,0.0003,-0.0253,7.77,0,0.1,6.5,-0.1,1.5265,6.7415,3.838,-0.00095,-0.0037,3.623,-0.7053,0,-0.001361,0.000515,0.33,300,0.4612,0.3474,0.4426,0.4426,0.7
