T,e0,e1,e2,e3,e4,e5,e6,Mh,c1,c2,c3,Mref,Rref,h,Dc3CaTw,Dc3CnTr,Dc3ItJp,c,Vc,Vref,f1,f3,f4,f5,f6,f7,R1,R2,dPhiR,dPhiV,V1,V2,phi1,phi2,tau1,tau2
PGV,5.037,5.078,4.849,5.033,1.073,-0.1536,0.2252,6.2,-1.243,0.1489,-0.00344,4.5,1,5.3,0,0.004345,-0.00033,-0.84,1300,760,0,0.1,-0.1,-0.00844,-9.9,-9.9,105,272,0.082,0.068310115,225,300,0.643957111,0.551764538,0.400827625,0.346
PGA,0.4473,0.4856,0.2459,0.4539,1.431,0.05053,-0.1662,5.5,-1.134,0.1917,-0.008088,4.5,1,4.5,0,0.002857567,-0.00255,-0.6,1500,760,0,0.1,-0.15,-0.00701,-9.9,-9.9,110,270,0.1,0.083522635,225,300,0.695051846,0.495071232,0.398193694,0.347961282
0.01,0.4534,0.4916,0.2519,0.4599,1.421,0.04932,-0.1659,5.5,-1.134,0.1916,-0.008088,4.5,1,4.5,0,0.002815856,-0.002436667,-0.6037,1500.2,760,0,0.1,-0.148333333,-0.00701,-9.9,-9.9,111.6666667,270,0.096,0.079351282,225,300,0.698006309,0.499186122,0.401893456,0.344624643
0.02,0.48598,0.52359,0.29707,0.48875,1.4331,0.053388,-0.16561,5.5,-1.1394,0.18962,-0.008074,4.5,1,4.5,0,0.002779513,-0.00234,-0.5739,1500.36,760,0,0.1,-0.1471,-0.00728,-9.9,-9.9,113.1049769,270,0.091556303,0.079330483,225,300,0.701782868,0.502296989,0.408676088,0.346399037
0.03,0.56916,0.6092,0.40391,0.55783,1.4261,0.061444,-0.1669,5.5,-1.1421,0.18842,-0.008336,4.5,1,4.49,0,0.00276458,-0.00216762,-0.5341,1502.95,760,0,0.1,-0.1548547,-0.00735,-9.9,-9.9,112.1334015,269.9981809,0.081223653,0.081620682,225,300,0.721228156,0.513604818,0.444905042,0.363952874
0.04,0.66281,0.70604,0.51532,0.63828,1.409,0.066183,-0.17357,5.5,-1.1324,0.18816,-0.00903,4.5,1,4.32,0,0.00282191,-0.00205387,-0.4906,1503.35,760,0,0.1,-0.1677676,-0.00698,-9.9,-9.9,108.2841996,269.9970038,0.073489313,0.083524343,225,300,0.738239534,0.521402475,0.477710678,0.384262017
0.05,0.75436,0.79905,0.60652,0.72726,1.3974,0.067357,-0.18082,5.5,-1.1159,0.18709,-0.009819,4.5,1,4.2,0,0.00295659,-0.00199108,-0.458,1501.42,760,0,0.1,-0.1963325,-0.00647,-9.9,-9.9,97.92699525,270,0.063379806,0.077451441,225,300,0.753056971,0.532293889,0.502723139,0.426287022
0.075,0.96447,1.0077,0.77678,0.9563,1.4174,0.073549,-0.19665,5.5,-1.0831,0.18225,-0.01058,4.5,1,4.04,0,0.00295659,-0.00215943,-0.4441,1494,760,0,0.1,-0.2286648,-0.00573,-9.9,-9.9,85.98934118,270.0352787,0.064253193,0.061739406,225,300,0.74467779,0.54230586,0.474402161,0.465817909
0.1,1.1268,1.1669,0.8871,1.1454,1.4293,0.055231,-0.19838,5.54,-1.0652,0.17203,-0.0102,4.5,1,4.13,0,0.00287924,-0.0024388,-0.4872,1479.12,760,0,0.1,-0.249158,-0.0056,-9.9,-9.9,79.58653623,270.0920255,0.086987015,0.057216617,225,300,0.727910373,0.54068589,0.41532093,0.458269257
0.15,1.3095,1.3481,1.0648,1.3324,1.2844,-0.042065,-0.18234,5.74,-1.0532,0.15401,-0.008977,4.5,1,4.39,0,0.00278642,-0.00270634,-0.5796,1442.85,760,0,0.1,-0.2571296,-0.00585,-9.9,-9.9,81.32632483,270.1631848,0.120295504,0.072335971,225,300,0.720326459,0.536753324,0.354106294,0.387932255
0.2,1.3255,1.359,1.122,1.3414,1.1349,-0.11096,-0.15852,5.92,-1.0607,0.14489,-0.007717,4.5,1,4.61,0,0.0026117,-0.00297024,-0.6876,1392.61,760,0,0.1,-0.2465827,-0.00614,-9.9,-9.9,90.90707909,270,0.136382309,0.085580305,225,300,0.711263893,0.538800565,0.34359108,0.308523554
0.25,1.2766,1.3017,1.0828,1.3052,1.0166,-0.16213,-0.12784,6.05,-1.0773,0.13925,-0.006517,4.5,1,4.78,0,0.00244426,-0.0031395,-0.7718,1356.21,760,0,0.1,-0.2357446,-0.00644,-9.9,-9.9,97.03859501,269.4485078,0.140667227,0.089258902,225,300,0.698360929,0.547119553,0.349972884,0.266403159
0.3,1.2217,1.2401,1.0246,1.2653,0.95676,-0.1959,-0.092855,6.14,-1.0948,0.13388,-0.005475,4.5,1,4.93,0,0.00219583,-0.00329693,-0.8417,1308.47,760,0,0.1,-0.2191189,-0.0067,-9.9,-9.9,103.1519179,268.5928018,0.137527587,0.09281253,225,300,0.675439264,0.561416998,0.363355575,0.229011128
0.4,1.1046,1.1214,0.89765,1.1552,0.96766,-0.22608,-0.023189,6.2,-1.1243,0.12512,-0.004053,4.5,1,5.16,0,0.00210665,-0.0032123,-0.9109,1252.66,760,0,0.1,-0.1958229,-0.00713,-9.9,-9.9,106.0179016,266.5431804,0.122353451,0.094543637,225,300,0.642782715,0.580379619,0.381004878,0.209660515
0.5,0.96991,0.99106,0.7615,1.012,1.0384,-0.23522,0.029119,6.2,-1.1459,0.12015,-0.00322,4.5,1,5.34,0,0.0023478,-0.00290654,-0.9693,1203.91,760,0,0.1,-0.1704066,-0.00744,-9.9,-9.9,105.5360087,265,0.10905305,0.087559063,225,300,0.614715708,0.598956616,0.410108475,0.22351873
0.75,0.66903,0.69737,0.47523,0.69173,1.2871,-0.21591,0.10829,6.2,-1.1777,0.11054,-0.001931,4.5,1,5.6,0,0.00268996,-0.00252707,-1.0154,1147.59,760,0,0.1,-0.1386567,-0.00812,0.092259036,0.059023688,108.3883404,266.510779,0.100380588,0.080160713,225,300,0.581472705,0.621818942,0.457160435,0.26638574
1,0.3932,0.4218,0.207,0.4124,1.5004,-0.18983,0.17895,6.2,-1.193,0.10248,-0.00121,4.5,1,5.74,0,0.0029211,-0.00208936,-1.05,1109.95,760,0,0.1,-0.1052142,-0.00844,0.366954397,0.207894202,116.3880882,270,0.098414462,0.077815162,225,300,0.55272515,0.624981547,0.498251771,0.298388408
