T,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,a2,h1,h2,h3,h4,h5,h6,k1,k2,k3,c,n,phi_lo,phi_hi,tau_lo,tau_hi,phi_lnaf,sigma_c,rho
0.5,-8.379,1.87232,-0.1212,-1.57678,-0.44027,-2.29568,0.18608,6.902,0,-0.15259,0.71779,2.35519,3.01604,3.33327,0.14743,0.23288,0.63753,0.00922,0.04053,0.00388,-0.0027,0.183814,0.216617007,1.553834937,-0.770451944,1,-0.407316,-0.28051,457,-2.669,1.883,1.88,1.18,0.6632,0.6113,0.3792,0.2632,0.3,0.208,0.684
0.75,-9.841,2.02098,-0.04173,-1.75665,-0.44323,-2.23162,0.18622,5.52167,0,-0.0903,0.79532,1.99492,2.61646,3.05379,0.17641,0.41099,0.77607,-0.00821,0.042,0.0042,-0.0016,0.215828,0.153809642,1.626464751,-0.780274394,1,-0.370885,-0.284764,410,-2.401,1.906,1.88,1.18,0.6058,0.6326,0.4299,0.3264,0.3,0.221,0.562
1,-11.011,2.18019,-0.06925,-1.70658,-0.52717,-2.15751,0.16948,5.64974,0,-0.105,0.55604,1.4472,2.46961,2.56169,0.25934,0.47909,0.77071,-0.0131,0.04259,0.00409,-0.0006,0.595819,0.117400827,1.615567127,-0.732967953,1,-0.127976,-0.755608,400,-1.955,1.929,1.88,1.18,0.5785,0.6278,0.4695,0.3527,0.3,0.225,0.467
1.5,-12.469,2.26973,0.04678,-1.62116,-0.62968,-2.06285,0.15776,5.795,0,-0.05765,0.48038,0.32996,2.10849,1.45264,0.28807,0.56579,0.7476,-0.01865,0.03798,0.00424,0,0.595819,0.117400827,1.615567127,-0.732967953,1,-0.127976,-0.755608,400,-1.025,1.974,1.88,1.18,0.5412,0.6032,0.4973,0.3989,0.3,0.222,0.364
2,-12.969,2.2711,0.14935,-1.51208,-0.7684,-2.1042,0.15773,6.63167,0,-0.02807,0.40135,-0.51429,1.32674,0.65727,0.31124,0.5624,0.76284,-0.02581,0.02515,0.00448,0,0.595819,0.117400827,1.615567127,-0.732967953,1,-0.127976,-0.755608,400,-0.299,2.019,1.88,1.18,0.5286,0.5879,0.4985,0.4004,0.3,0.226,0.298
3,-13.306,2.14989,0.36819,-1.31456,-0.88968,-2.05109,0.14786,6.75917,0,0,0.20613,-0.84808,0.60121,0.36667,0.34781,0.534,0.68565,-0.03106,0.02356,0.00345,0,0.595819,0.117400827,1.615567127,-0.732967953,1,-0.127976,-0.755608,400,0,2.11,1.88,1.18,0.5269,0.578,0.4996,0.4172,0.3,0.229,0.234
4,-14.02,2.1324,0.72617,-1.50567,-0.88483,-1.98623,0.13543,7.97765,0,0,0.105,-0.79272,0.56816,0.30608,0.37465,0.52227,0.69094,-0.04129,0.0102,0.00603,0,0.595819,0.117400827,1.615567127,-0.732967953,1,-0.127976,-0.755608,400,0,2.2,1.88,1.18,0.5212,0.5592,0.5427,0.3925,0.3,0.237,0.202
5,-14.558,2.11557,1.02702,-1.72132,-0.87758,-2.02143,0.13954,8.53845,0,0,0,-0.74828,0.35563,0.26753,0.33817,0.47719,0.67003,-0.02814,0.00335,0.00805,0,0.595819,0.117400827,1.615567127,-0.732967953,1,-0.127976,-0.755608,400,0,2.291,1.88,1.18,0.5024,0.551,0.5339,0.4209,0.3,0.237,0.184
7.5,-15.509,2.22333,0.16924,-0.75648,-1.0771,-2.17893,0.17836,8.46752,0,0,0,-0.66444,0.0751,0.37356,0.37541,0.32092,0.75653,-0.02054,0.00497,0.0028,0,0.595819,0.117400827,1.615567127,-0.732967953,1,-0.127976,-0.755608,400,0,2.517,1.88,1.18,0.4568,0.5456,0.5228,0.4376,0.3,0.271,0.176
10,-15.975,2.13178,0.36739,-0.80033,-1.28153,-2.24395,0.19421,6.56419,0,0,0,-0.57634,-0.02688,0.29687,0.35056,0.1743,0.62149,0.00093,0.00986,0.00458,0,0.595819,0.117400827,1.615567127,-0.732967953,1,-0.127976,-0.755608,400,0,2.744,1.88,1.18,0.4412,0.5432,0.4655,0.4379,0.3,0.29,0.154
PGA,-4.416,0.98408,0.53714,-1.49918,-0.496099731,-2.77308,0.24792,6.76761,0,-0.21192,0.72036,1.09034,2.18598,1.42048,-0.00638,-0.20246,0.39293,0.09766,0.03334,0.00757,-0.0055,0.166756,0.241153212,1.473962695,-0.715115906,1,-0.336826,-0.270212,865,-1.186,1.839,1.88,1.18,0.7335,0.4918,0.4086,0.3219,0.3,0.166,1
PGV,-2.895,1.51014,0.27,-1.29865,-0.45259,-2.46623,0.20353,5.83687,0,-0.16787,0.30531,1.71266,2.6016,2.45689,0.10601,0.33242,0.58488,0.05174,0.03267,0.00613,-0.0017,0.595819,0.117400827,1.615567127,-0.732967953,1,-0.127976,-0.755608,400,-1.955,1.929,1.88,1.18,0.6552,0.4944,0.3171,0.2969,0.3,0.19,0.684
