T,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,a2,h1,h2,h3,h4,h5,h6,k1,k2,k3,c,n,phi_lo,phi_hi,tau_lo,tau_hi,phi_lnaf,sigma_c,rho
0.01,-4.365,0.9767,0.5333,-1.48461,-0.498937453,-2.77287,0.24794,6.7526,0,-0.21399,0.72005,1.09423,2.19076,1.41626,-0.00697,-0.20736,0.38951,0.09813,0.0334,0.00755,-0.0055,0.168204,0.242491585,1.471226463,-0.713718048,1,-0.336344,-0.26972,865,-1.186,1.839,1.88,1.18,0.7336,0.4915,0.4041,0.3247,0.3,0.166,1
0.02,-4.348,0.97602,0.54938,-1.48771,-0.500622655,-2.77184,0.24728,6.50193,0,-0.20765,0.72967,1.14928,2.18901,1.45343,-0.01669,-0.19937,0.38713,0.10091,0.03272,0.00759,-0.0055,0.16608,0.244239479,1.467008458,-0.711247937,1,-0.339225,-0.262572,865,-1.219,1.84,1.88,1.18,0.7375,0.4955,0.4167,0.3258,0.3,0.166,0.998
0.03,-4.024,0.93061,0.62834,-1.49384,-0.516949343,-2.78177,0.24569,6.29064,0,-0.21286,0.75901,1.28982,2.16441,1.47596,-0.04215,-0.20208,0.37769,0.10948,0.03312,0.0079,-0.0057,0.166615,0.246102927,1.467306208,-0.713409135,1,-0.338487,-0.258835,908,-1.273,1.841,1.88,1.18,0.7471,0.5034,0.4458,0.3437,0.3,0.165,0.986
0.05,-3.479,0.88708,0.67381,-1.38762,-0.614846203,-2.79116,0.23957,6.31674,0,-0.24416,0.8263,1.44851,2.13849,1.54867,-0.06628,-0.33892,0.29548,0.12256,0.02695,0.00803,-0.0063,0.173208,0.251121153,1.449483555,-0.700604707,1,-0.338309,-0.262789,1054,-1.346,1.843,1.88,1.18,0.7768,0.5197,0.5076,0.3769,0.3,0.162,0.938
0.075,-3.293,0.9018,0.72577,-1.46913,-0.596140959,-2.74484,0.22728,6.86079,0,-0.26594,0.81493,1.53508,2.44588,1.77181,-0.07944,-0.40355,0.322,0.11646,0.02882,0.00811,-0.007,0.198386,0.260215395,1.43491017,-0.695125566,1,-0.347476,-0.218517,1086,-1.471,1.845,1.88,1.18,0.7821,0.5349,0.504,0.418,0.3,0.158,0.887
0.1,-3.666,0.99317,0.69757,-1.57184,-0.53615185,-2.63321,0.20998,7.29437,0,-0.22909,0.83098,1.61453,2.96906,1.91583,-0.02935,-0.41622,0.38448,0.0998,0.03253,0.00744,-0.0073,0.174173,0.258891885,1.448920728,-0.707812613,1,-0.391023,-0.200791,1032,-1.624,1.847,1.88,1.18,0.7691,0.5431,0.4449,0.4261,0.3,0.17,0.87
0.15,-4.866,1.26745,0.51048,-1.66866,-0.489916175,-2.45812,0.18271,8.03121,0,-0.21079,0.74885,1.87724,3.54382,2.16149,0.06424,-0.40719,0.41653,0.07595,0.03884,0.00716,-0.0069,0.197692,0.253754887,1.46101266,-0.714767546,1,-0.449387,-0.0994103,878,-1.931,1.852,1.88,1.18,0.7693,0.5427,0.3816,0.3865,0.3,0.18,0.876
0.2,-5.411,1.36587,0.4471,-1.74959,-0.451168621,-2.42082,0.18236,8.38547,0,-0.16256,0.76413,2.06875,3.70687,2.46523,0.09684,-0.31065,0.40419,0.05707,0.04373,0.00688,-0.006,0.204389,0.236761836,1.484246105,-0.721007941,1,-0.393051,-0.198083,748,-2.188,1.856,1.88,1.18,0.7609,0.5515,0.3392,0.3381,0.3,0.186,0.87
0.25,-5.962,1.45843,0.27438,-1.71072,-0.40377,-2.39172,0.18902,7.53447,0,-0.15032,0.71599,2.20472,3.34286,2.7662,0.14409,-0.17151,0.46631,0.04374,0.04633,0.00556,-0.0055,0.185493,0.205538668,1.581051011,-0.786589679,1,-0.338954,-0.210334,654,-2.381,1.861,1.88,1.18,0.7439,0.5448,0.3401,0.316,0.3,0.191,0.85
0.3,-6.403,1.52845,0.19341,-1.77001,-0.32137,-2.37647,0.19458,6.99039,0,-0.131,0.73747,2.3056,3.33392,3.0105,0.15969,-0.08379,0.52831,0.03232,0.05084,0.00458,-0.0049,0.16375,0.209669285,1.585576015,-0.7952453,1,-0.446928,-0.120913,587,-2.518,1.865,1.88,1.18,0.7265,0.5684,0.3399,0.2997,0.3,0.198,0.819
0.4,-7.566,1.73878,-0.02008,-1.59425,-0.42641,-2.30344,0.18548,7.012,0,-0.15869,0.73848,2.39843,3.54369,3.20302,0.14104,0.08468,0.53978,0.0209,0.04322,0.00401,-0.0037,0.159991,0.225654325,1.544360277,-0.770014601,1,-0.525278,-0.0861837,503,-2.657,1.874,1.88,1.18,0.6901,0.5931,0.3559,0.2635,0.3,0.206,0.743
