T,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,bln,b1,b2,del,m1,mh
5.0,-5.41,1.71,-0.0901,-2.54,0.227,-1.27,0.116,0.979,-0.177,-0.000176,-0.752,-0.3,0,0.15,6,8.5
4.0,-5.79,1.92,-0.107,-2.44,0.211,-1.16,0.102,1.01,-0.182,-0.000201,-0.745,-0.31,0,0.15,5.75,8.37
3.0,-6.04,2.08,-0.122,-2.37,0.2,-1.07,0.0895,1,-0.18,-0.000231,-0.74,-0.33,0,0.15,5.5,8.25
2.5,-6.17,2.21,-0.135,-2.3,0.19,-0.986,0.0786,0.968,-0.177,-0.000282,-0.735,-0.352,0,0.15,5.25,8.12
2.0,-6.18,2.3,-0.144,-2.22,0.177,-0.937,0.0707,0.952,-0.177,-0.000322,-0.73,-0.375,0,0.15,5,8
1.25,-5.72,2.32,-0.151,-2.1,0.157,-0.82,0.0519,0.856,-0.166,-0.000433,-0.716,-0.34,0,0.15,4.67,7.45
1.0,-5.27,2.26,-0.148,-2.07,0.15,-0.813,0.0467,0.826,-0.162,-0.000486,-0.7,-0.44,0,0.15,4.5,7.2
0.5,-3.22,1.83,-0.12,-2.02,0.134,-0.813,0.0444,0.884,-0.175,-0.00077,-0.6,-0.495,-0.06,0.15,4,6.5
0.4,-2.44,1.65,-0.108,-2.05,0.136,-0.843,0.0448,0.739,-0.156,-0.000851,-0.5,-0.508,-0.095,0.15,3.65,6.37
0.3,-1.72,1.48,-0.0974,-2.08,0.138,-0.889,0.0487,0.61,-0.139,-0.000954,-0.445,-0.513,-0.13,0.15,3.3,6.25
0.25,-1.12,1.34,-0.0872,-2.08,0.135,-0.971,0.0563,0.614,-0.143,-0.00106,-0.39,-0.518,-0.16,0.15,2.9,6.12
0.2,-0.615,1.23,-0.0789,-2.09,0.131,-1.12,0.0679,0.606,-0.146,-0.00113,-0.306,-0.521,-0.185,0.15,2.5,6
0.1,0.48,1.02,-0.064,-2.2,0.127,-2.01,0.133,0.337,-0.127,-0.00105,-0.25,-0.595,-0.132,0.15,0.5,5.5
0.05,1.11,0.972,-0.062,-2.47,0.128,-3.39,0.214,-0.139,-0.0984,-0.000317,-0.286,-0.643,-0.105,0.15,0,5
0.04,1.26,0.968,-0.0623,-2.58,0.132,-3.64,0.228,-0.351,-0.0813,-0.000123,-0.314,-0.609,-0.105,0.15,0,5
0.03,1.44,0.959,-0.0628,-2.71,0.14,-3.73,0.234,-0.543,-0.0645,-3.23e-05,-0.322,-0.618,-0.108,0.15,0,5
0.025,1.52,0.96,-0.0635,-2.81,0.146,-3.65,0.236,-0.654,-0.055,-4.85e-05,-0.33,-0.624,-0.115,0.15,0,5
PGA,0.907,0.983,-0.066,-2.7,0.159,-2.8,0.212,-0.301,-0.0653,-0.000448,-0.361,-0.641,-0.144,0.15,0.5,5.5
PGV,-1.44,0.991,-0.0585,-2.7,0.216,-2.44,0.266,0.0848,-0.0693,-0.000373,-0.6,-0.495,-0.06,0.11,2,5.5
